Code,Weight,Halt
A005930,0.208174,0
A373220,0.049392,0
A000660,0.044258,0
A207940,0.026585,0
A035420,0.025292,0
A035720,0.02067,0
A051910,0.019055,0
A006400,0.018294,0
A005380,0.017718,0
A000270,0.014214,0
A005490,0.012021,0
A105560,0.011588,0
A323410,0.011069,0
A068270,0.010879,0
A012330,0.010303,0
A028260,0.010089,0
A066570,0.009829,0
A055550,0.009598,0
A377300,0.009498,0
A096770,0.009331,0
A034730,0.008421,0
A015760,0.007228,0
A051900,0.00714,0
A259960,0.007112,0
A011200,0.006921,0
A086790,0.006783,0
A034020,0.006224,0
A009150,0.005994,0
A032830,0.005846,0
A017670,0.0058,0
A352820,0.005762,0
A003550,0.005661,0
A302440,0.005413,0
A033780,0.005355,0
A090430,0.005277,0
A018260,0.00525,0
A010130,0.005222,0
A329180,0.00503,0
A010950,0.004906,0
A316140,0.004851,0
A003490,0.004846,0
A036570,0.004826,0
A000810,0.004332,0
A003670,0.004314,0
A251270,0.004306,0
A361610,0.0043,0
A030200,0.004013,0
A024110,0.003801,0
A402340,0.003722,0
A011070,0.003689,0
A011170,0.003442,0
A009830,0.003414,0
A034220,0.003254,0
A326030,0.003253,0
A383220,0.003193,0
A086280,0.003192,0
A009540,0.003153,0
A018880,0.003037,0
A035250,0.002799,0
A032640,0.002782,0
A137310,0.002752,0
A097950,0.002742,0
A088980,0.002707,0
A006800,0.002616,0
A004020,0.002606,0
A010140,0.002589,0
A021240,0.002573,0
A011790,0.00256,0
A000720,0.002367,0
A138040,0.002343,0
A011780,0.002335,0
A000060,0.00227,0
A028050,0.002226,0
A071050,0.002136,0
A020150,0.002065,0
A000100,0.002059,0
A267250,0.002036,0
A161390,0.002024,0
A005830,0.002021,0
A008560,0.001983,0
A002790,0.001947,0
A003410,0.001889,0
A036460,0.001881,0
A078930,0.001869,0
A241560,0.001867,0
A016360,0.001833,0
A029780,0.001814,0
A006360,0.001792,0
A047810,0.001785,0
A271560,0.001771,0
A139480,0.001769,0
A028670,0.001716,0
A005940,0.001705,0
A180640,0.001701,0
A052690,0.001632,0
A128940,0.001579,0
A010620,0.001577,0
A008770,0.001531,0
A000990,0.001509,0
A004990,0.001503,0
A008930,0.001499,0
A000120,0.001453,0
A272210,0.001452,0
A307950,0.00144,0
A042660,0.001435,0
A002380,0.001424,0
A007070,0.001373,0
A282330,0.00137,0
A012450,0.001342,0
A012750,0.001332,0
A026960,0.001321,0
A336260,0.001296,0
A039490,0.001294,0
A112610,0.001294,0
A047040,0.00129,0
A010060,0.001288,0
A004170,0.001262,0
A030000,0.001262,0
A088350,0.00124,0
A047050,0.001233,0
A014680,0.001229,0
A000080,0.001218,0
A375500,0.00121,0
A138930,0.001205,0
A001040,0.001193,0
A001450,0.001178,0
A023530,0.001168,0
A000880,0.001137,0
A285130,0.001071,0
A064350,0.00107,0
A298050,0.001062,0
A081660,0.001044,0
A204320,0.001038,0
A298020,0.001007,0
A006280,0.001006,0
A004000,0.000984,0
A001440,0.000956,0
A093370,0.000953,0
A336370,0.00094,0
A069620,0.000935,0
A111770,0.000918,0
A019170,0.000916,0
A004370,0.000911,0
A000150,0.000896,0
A069960,0.00089,0
A004800,0.000869,0
A003090,0.000855,0
A009240,0.000836,0
A120110,0.000814,0
A051600,0.000813,0
A011210,0.0008,0
A042700,0.0008,0
A010780,0.000789,0
A079550,0.00078,0
A006260,0.000774,0
A007310,0.000773,0
A175330,0.000773,0
A014820,0.000772,0
A381970,0.000772,0
A001230,0.000766,0
A017800,0.000753,0
A139130,0.000746,0
A005300,0.000715,0
A271940,0.000695,0
A012510,0.000691,0
A181710,0.000686,0
A020560,0.000682,0
A089860,0.000678,0
A363280,0.000676,0
A249420,0.000667,0
A042670,0.000664,0
A365550,0.000655,0
A330590,0.000649,0
A178920,0.000628,0
A010120,0.000627,0
A009900,0.000618,0
A000210,0.00061,0
A300720,0.00061,0
A000240,0.000607,0
A032350,0.000601,0
A000670,0.000599,0
A353200,0.000582,0
A005070,0.000572,0
A185750,0.000567,0
A013890,0.000562,0
A248070,0.000556,0
A073240,0.000555,0
A005850,0.000554,0
A011000,0.000553,0
A003240,0.00055,0
A003690,0.000548,0
A001740,0.000546,0
A007700,0.000541,0
A039130,0.000535,0
A018670,0.000534,0
A294870,0.000534,0
A001120,0.000529,0
A031430,0.000528,0
A016380,0.000528,0
A079160,0.00052,0
A006650,0.000512,0
A161890,0.00051,0
A005250,0.00051,0
A003530,0.00051,0
A036420,0.000505,0
A089590,0.000492,0
A214320,0.000484,0
A082640,0.000482,0
A192820,0.000479,0
A268280,0.000477,0
A009420,0.000476,0
A241590,0.000476,0
A023590,0.000476,0
A395400,0.000469,0
A017390,0.000464,0
A103140,0.000453,0
A002840,0.000451,0
A005880,0.00045,0
A192080,0.00045,0
A105630,0.000448,0
A344820,0.000447,0
A114090,0.000442,0
A004490,0.000439,0
A069260,0.000438,0
A003540,0.000438,0
A003520,0.000438,0
A348950,0.000434,0
A020000,0.00043,0
A195870,0.000428,0
A003000,0.000427,0
A298000,0.000427,0
A003850,0.000426,0
A001800,0.000425,0
A284740,0.00042,0
A272450,0.000415,0
A950210,0.000415,0
A005090,0.000408,0
A003280,0.000406,0
A005440,0.000405,0
A016710,0.000399,0
A097520,0.000396,0
A014830,0.000386,0
A034120,0.000382,0
A005610,0.000379,0
A006120,0.000376,0
A006040,0.000374,0
A001680,0.000373,0
A010050,0.000369,0
A383800,0.000362,0
A267260,0.000362,0
A033270,0.000359,0
A192650,0.000356,0
A280360,0.000356,0
A003580,0.000353,0
A007340,0.000351,0
A007810,0.000348,0
A085620,0.000348,0
A003470,0.000345,0
A000070,0.000344,0
A057050,0.000338,0
A145720,0.000335,0
A210980,0.000332,0
A267270,0.000331,0
A003230,0.000325,0
A049770,0.000324,0
A005690,0.000322,0
A000640,0.000315,0
A001430,0.00031,0
A009970,0.00031,0
A009450,0.000309,0
A192400,0.000305,0
A084010,0.000304,0
A017810,0.000303,0
A034310,0.000303,0
A097230,0.000303,0
A064960,0.000302,0
A025540,0.000299,0
A002350,0.000295,0
A001530,0.000294,0
A001880,0.000294,0
A008730,0.000288,0
A001820,0.000287,0
A001720,0.000287,0
A293940,0.000279,0
A170900,0.000279,0
A286940,0.000278,0
A183190,0.000278,0
A071840,0.000272,0
A001060,0.000265,0
A034830,0.000265,0
A003030,0.000264,0
A145990,0.000262,0
A298040,0.000262,0
A017960,0.000261,0
A000400,0.00026,0
A020120,0.000259,0
A006390,0.000258,0
A005390,0.000257,0
A005180,0.000256,0
A003070,0.000255,0
A115390,0.000254,0
A093050,0.000252,0
A009160,0.000248,0
A102460,0.000248,0
A025860,0.000248,0
A068400,0.000244,0
A018250,0.000243,0
A002240,0.000242,0
A007690,0.000241,0
A161000,0.00024,0
A108670,0.000239,0
A030610,0.000239,0
A117580,0.000235,0
A027410,0.000235,0
A004430,0.000234,0
A007570,0.000234,0
A226320,0.00023,0
A138250,0.000229,1
A000370,0.000228,0
A082740,0.000227,0
A123890,0.000225,0
A012630,0.000224,0
A037270,0.000223,0
A357120,0.000221,0
A007660,0.000218,0
A008490,0.000217,0
A298690,0.000216,0
A092220,0.000211,0
A002320,0.000211,0
A126560,0.000211,0
A004890,0.000209,0
A060980,0.000208,0
A281820,0.000208,0
A094800,0.000208,0
A004690,0.000205,0
A026890,0.000205,0
A001510,0.000205,0
A139990,0.000205,0
A058650,0.000204,0
A071320,0.000203,0
A003220,0.000203,0
A001390,0.000203,0
A130660,0.000202,0
A003620,0.000202,1
A075580,0.000202,0
A138490,0.000201,0
A002310,0.000201,0
A016800,0.000199,0
A053210,0.000197,0
A000050,0.000196,0
A002990,0.000194,0
A271980,0.000194,0
A033240,0.000194,0
A005420,0.000193,0
A001780,0.000193,0
A037560,0.000192,0
A003300,0.00019,0
A009290,0.000188,0
A091810,0.000187,0
A002270,0.000187,0
A009410,0.000187,0
A081000,0.000187,0
A104700,0.000186,0
A088260,0.000186,0
A024720,0.000186,0
A016590,0.000185,0
A055490,0.000184,0
A339770,0.000183,0
A002020,0.000182,0
A011930,0.00018,0
A005950,0.000176,0
A077970,0.000175,0
A194370,0.000174,0
A000020,0.000174,0
A317400,0.000173,0
A001500,0.000171,0
A005500,0.00017,0
A001630,0.000167,0
A377190,0.000167,0
A072710,0.000167,0
A293480,0.000166,0
A004250,0.000166,0
A001520,0.000164,0
A122900,0.000163,0
A004700,0.000163,0
A084690,0.000163,0
A214330,0.000163,0
A095720,0.000162,0
A272550,0.000161,0
A002960,0.000161,0
A002030,0.00016,0
A001470,0.00016,0
A107590,0.000159,0
A002780,0.000158,0
A001200,0.000158,0
A031440,0.000157,0
